2017-12-09,86305
2017-12-10,86445
2017-12-11,86640
2017-12-12,86947
2017-12-13,87307
2017-12-14,87598
2017-12-15,87982
2017-12-17,88394
2017-12-18,88635
2017-12-19,88955
2017-12-20,89295
2017-12-21,89606
2017-12-22,89937
2017-12-23,90229
2017-12-24,90476
2017-12-25,90576
2017-12-26,90863
2017-12-27,91154
2017-12-28,91415
2017-12-29,91760
2017-12-30,92080
2017-12-31,92311
2018-01-01,92472
2018-01-02,92561
2018-01-03,92880
2018-01-04,93234
2018-01-05,93622
2018-01-06,94082
2018-01-07,94224
2018-01-08,94416
2018-01-09,94899
2018-01-10,95144
2018-01-11,95538
2018-01-12,95681
2018-01-13,96028
2018-01-14,96183
2018-01-15,96439
2018-01-16,96591
2018-01-17,96884
2018-01-18,97189
2018-01-19,97506
2018-01-20,97804
2018-01-21,98152
2018-01-22,98262
2018-01-23,98529
2018-01-24,98890
2018-01-25,99188
2018-01-29,100529
2018-01-30,100858
2018-01-31,101344
2018-02-01,101536
2018-02-02,101870
2018-02-03,102276
2018-02-04,102490
2018-02-05,102689
2018-02-06,103204
2018-02-07,103448
2018-02-08,103837
2018-02-09,104124
2018-02-10,104657
2018-02-11,104819
2018-02-12,105046
2018-02-13,105431
2018-02-14,105608
2018-02-15,105887
2018-02-16,106043
2018-02-17,106306
2018-02-18,106495
2018-02-19,106697
2018-02-20,106872
2018-02-21,107102
2018-02-23,107812
2018-02-24,107964
2018-02-25,108307
2018-02-26,108616
2018-02-27,109294
2018-02-28,109544
2018-03-01,109980
2018-03-02,110443
2018-03-03,111019
2018-03-04,111153
2018-03-05,111428
2018-03-06,111934
2018-03-07,112576
2018-03-08,112886
2018-03-09,113411
2018-03-10,114015
2018-03-11,114247
2018-03-12,114685
2018-03-13,115242
2018-03-14,115861
2018-03-15,116801
2018-03-16,117198
2018-03-17,117974
2018-03-18,118240
2018-03-19,118815
2018-03-20,119539
2018-03-21,120300
2018-03-22,120924
2018-03-23,121537
2018-03-24,122020
2018-03-25,122344
2018-03-26,122707
2018-03-27,123321
2018-03-28,123950
2018-03-29,124563
2018-03-30,125129
2018-03-31,125857
2018-04-01,126096
2018-04-02,126292
2018-04-03,126972
2018-04-07,129501
2018-04-08,130165
2018-04-09,130467
2018-04-10,131152
2018-04-11,132062
2018-04-12,132604
2018-04-13,133335
2018-04-14,134289
2018-04-15,134962
2018-04-16,135317
2018-04-17,136089
2018-04-18,136876
2018-04-19,137747
2018-04-20,138704
2018-04-21,139402
2018-04-22,140051
2018-04-23,140442
2018-04-24,141376
2018-04-25,142209
2018-04-26,143020
2018-04-27,143690
2018-04-28,144246
2018-04-29,144646
2018-04-30,145086
2018-05-01,145222
2018-05-02,145646
2018-05-03,146625
2018-05-04,146881
2018-05-05,147667
2018-05-06,147973
2018-05-07,148244
2018-05-08,148923
2018-05-09,149753
2018-05-10,150285
2018-05-11,151007
2018-05-12,151597
2018-05-13,151914
2018-05-14,152336
2018-05-15,153111
2018-05-16,153747
2018-05-17,154551
2018-05-18,155290
2018-05-19,155855
2018-05-21,156864
2018-05-22,157421
2018-05-23,157966
2018-05-24,158518
2018-05-25,159287
2018-05-26,159956
2018-05-27,160482
2018-05-28,161224
2018-05-29,161994
2018-05-30,163155
2018-05-31,163575
2018-06-01,164362
